,ttime,pm1,pm2,pm3,am,sm,st,lum,temp,humd,pres
19363,2022-07-18 17:29:56,3.91,6.7,9.22,0.0,7353.0,25.87,3222.0,22.81,87.88,92824.96
22,2022-07-18 17:32:55,3.91,6.7,12.01,1.6,7813.0,25.88,3359.0,22.81,87.88,92824.96
19364,2022-07-18 17:34:56,4.47,6.7,9.22,0.0,7463.0,25.88,2533.0,22.76,87.83,92834.18
23,2022-07-18 17:37:56,4.47,6.7,12.01,5.6,7813.0,25.89,2293.0,22.76,87.83,92834.18
19365,2022-07-18 17:39:56,5.02,6.7,9.22,0.0,7463.0,25.89,2529.0,22.67,87.95,92840.3
24,2022-07-18 17:42:56,5.02,6.7,12.01,4.0,7692.0,25.9,2864.0,22.67,87.95,92840.3
19366,2022-07-18 17:44:56,5.58,6.7,9.22,0.0,7463.0,25.9,2924.0,22.55,88.32,92852.47
25,2022-07-18 17:47:56,5.58,6.7,12.01,1.6,7692.0,25.91,4079.0,22.55,88.32,92852.47
19367,2022-07-18 17:49:56,6.14,6.7,9.22,0.0,7463.0,25.91,4067.0,22.57,87.82,92851.91
26,2022-07-18 17:52:56,6.14,6.7,12.01,0.8,7813.0,25.92,3752.0,22.57,87.82,92851.91
19368,2022-07-18 17:54:56,6.7,6.7,9.22,0.0,7463.0,25.92,4119.0,22.54,87.83,92852.3
27,2022-07-18 17:57:56,6.7,6.7,12.01,2.4,7937.0,25.92,2967.0,22.54,87.83,92852.3
19369,2022-07-18 17:59:56,0.55,6.7,15.92,0.0,7463.0,25.92,2776.0,22.54,88.23,92849.54
28,2022-07-18 18:02:56,0.55,6.7,18.71,3.2,7692.0,25.93,2568.0,22.54,88.23,92849.54
19370,2022-07-18 18:04:57,1.11,6.7,15.92,0.0,7463.0,25.93,3526.0,22.53,87.66,92862.57
29,2022-07-18 18:07:56,1.11,6.7,18.71,1.6,7813.0,25.94,2869.0,22.53,87.66,92862.57
19371,2022-07-18 18:09:56,1.67,6.7,15.92,0.0,7353.0,25.94,2767.0,22.44,87.95,92872.15
30,2022-07-18 18:12:56,1.67,6.7,18.71,0.8,7813.0,25.95,2228.0,22.44,87.95,92872.15
19372,2022-07-18 18:14:56,2.23,6.7,15.92,0.0,7463.0,25.95,2530.0,22.39,88.05,92872.37
31,2022-07-18 18:17:56,2.23,6.7,18.71,1.6,7692.0,25.96,2116.0,22.39,88.05,92872.37
19373,2022-07-18 18:19:58,2.79,6.7,15.92,0.0,7576.0,25.96,2178.0,22.23,88.47,92869.69
32,2022-07-18 18:22:56,2.79,6.7,18.71,3.2,7692.0,25.97,1795.0,22.23,88.47,92869.69
19374,2022-07-18 18:24:57,3.35,6.7,15.92,0.0,7463.0,25.97,1745.0,22.11,88.77,92869.89
33,2022-07-18 18:27:56,3.35,6.7,18.71,4.0,7813.0,25.98,1460.0,22.11,88.77,92869.89
19375,2022-07-18 18:29:57,3.91,6.7,15.92,0.0,7353.0,25.98,1394.0,22.0,88.81,92864.8
34,2022-07-18 18:32:56,3.91,6.7,18.71,2.4,7692.0,25.98,1245.0,22.0,88.81,92864.8
19376,2022-07-18 18:34:57,4.47,6.7,15.92,0.0,7353.0,25.98,1122.0,21.87,89.58,92872.55
35,2022-07-18 18:37:56,4.47,6.7,18.71,3.2,7937.0,25.98,1022.0,21.87,89.58,92872.55
19377,2022-07-18 18:39:58,5.02,6.7,15.92,0.0,7353.0,25.98,854.0,21.73,89.88,92873.69
36,2022-07-18 18:42:56,5.02,6.7,18.71,3.2,7813.0,25.99,806.0,21.73,89.88,92873.69
19378,2022-07-18 18:44:57,5.58,6.7,15.92,0.0,7353.0,25.99,670.0,21.62,90.18,92892.59
37,2022-07-18 18:47:57,5.58,6.7,18.71,1.6,7813.0,26.0,561.0,21.62,90.18,92892.59
19379,2022-07-18 18:49:57,6.14,6.7,15.92,0.0,7463.0,26.0,524.0,21.55,90.33,92898.84
38,2022-07-18 18:52:56,6.14,6.7,18.71,1.6,7813.0,26.0,365.0,21.55,90.33,92898.84
19380,2022-07-18 18:54:57,6.7,6.7,15.92,0.0,7353.0,26.0,330.0,21.45,90.76,92911.65
39,2022-07-18 18:57:56,6.7,6.7,18.71,6.4,7937.0,26.01,209.0,21.45,90.76,92911.65
19381,2022-07-18 18:59:58,0.55,6.7,22.63,0.0,7246.0,26.01,184.0,21.37,91.11,92907.4
40,2022-07-18 19:02:56,0.55,6.7,25.42,1.6,7813.0,26.02,116.0,21.37,91.11,92907.4
19382,2022-07-18 19:04:58,1.11,6.7,22.63,0.0,7353.0,26.02,104.0,21.29,91.13,92907.97
41,2022-07-18 19:07:56,1.11,6.7,25.42,1.6,7813.0,26.02,58.0,21.29,91.13,92907.97
19383,2022-07-18 19:09:57,1.67,6.7,22.63,0.0,7246.0,26.02,53.0,21.21,91.31,92926.09
42,2022-07-18 19:12:56,1.67,6.7,25.42,0.8,7813.0,26.03,24.0,21.21,91.31,92926.09
19384,2022-07-18 19:14:57,2.23,6.7,22.63,0.0,7246.0,26.03,24.0,21.15,91.61,92930.3
43,2022-07-18 19:17:58,2.23,6.7,25.42,0.8,7937.0,26.03,8.0,21.15,91.61,92930.3
19385,2022-07-18 19:19:57,2.79,6.7,22.63,0.0,7246.0,26.03,10.0,21.11,91.13,92918.2
44,2022-07-18 19:22:55,2.79,6.7,25.42,5.6,7692.0,26.04,3.0,21.11,91.13,92918.2
19386,2022-07-18 19:24:58,3.35,6.7,22.63,0.0,7246.0,26.04,6.0,21.06,91.49,92918.4
45,2022-07-18 19:27:57,3.35,6.7,25.42,3.2,7937.0,26.05,1.0,21.06,91.49,92918.4
19387,2022-07-18 19:29:57,3.91,6.7,22.63,0.0,7576.0,26.05,5.0,21.03,91.93,92923.7
46,2022-07-18 19:32:57,3.91,6.7,25.42,0.8,7937.0,26.05,1.0,21.03,91.93,92923.7
19388,2022-07-18 19:34:57,4.47,6.7,22.63,0.0,7576.0,26.05,5.0,20.98,91.95,92915.65
47,2022-07-18 19:37:58,4.47,6.7,25.42,3.2,7813.0,26.05,1.0,20.98,91.95,92915.65
19389,2022-07-18 19:39:58,5.02,6.7,22.63,0.0,7692.0,26.05,5.0,20.93,92.19,92919.31
48,2022-07-18 19:42:57,5.02,6.7,25.42,0.8,7813.0,26.05,1.0,20.93,92.19,92919.31
19390,2022-07-18 19:44:58,5.58,6.7,22.63,0.0,7692.0,26.05,4.0,20.9,92.67,92923.14
49,2022-07-18 19:47:57,5.58,6.7,25.42,2.4,7813.0,26.05,1.0,20.9,92.67,92923.14
19391,2022-07-18 19:49:57,6.14,6.7,22.63,0.0,7692.0,26.05,1.0,20.88,92.87,92933.93
50,2022-07-18 19:52:57,6.14,6.7,25.42,4.8,7937.0,26.06,1.0,20.88,92.87,92933.93
19392,2022-07-18 19:54:58,6.7,6.7,22.63,0.0,7813.0,26.06,5.0,20.87,92.79,92931.75
51,2022-07-18 19:57:57,6.7,6.7,25.42,3.2,7813.0,26.06,1.0,20.87,92.79,92931.75
19393,2022-07-18 19:59:59,0.55,6.7,29.33,0.0,7813.0,26.06,5.0,20.87,92.56,92937.97
52,2022-07-18 20:02:57,0.55,6.7,32.13,3.2,7937.0,26.06,1.0,20.87,92.56,92937.97
19394,2022-07-18 20:04:58,1.11,6.7,29.33,0.0,7813.0,26.06,5.0,20.85,92.48,92950.77
53,2022-07-18 20:07:57,1.11,6.7,32.13,2.4,7813.0,26.07,1.0,20.85,92.48,92950.77
19395,2022-07-18 20:09:58,1.67,6.7,29.33,0.0,7813.0,26.07,4.0,20.85,92.27,92957.72
54,2022-07-18 20:12:57,1.67,6.7,32.13,3.2,7813.0,26.07,1.0,20.85,92.27,92957.72
19396,2022-07-18 20:14:58,2.23,6.7,29.33,0.0,7813.0,26.07,5.0,20.81,92.72,92962.09
55,2022-07-18 20:17:57,2.23,6.7,32.13,1.6,7937.0,26.07,1.0,20.81,92.72,92962.09
19397,2022-07-18 20:19:58,2.79,6.7,29.33,0.0,7692.0,26.07,5.0,20.78,92.98,92976.19
56,2022-07-18 20:22:57,2.79,6.7,32.13,0.0,7813.0,26.07,1.0,20.78,92.98,92976.19
19398,2022-07-18 20:24:58,3.35,6.7,29.33,0.0,7813.0,26.07,5.0,20.71,93.26,92992.28
57,2022-07-18 20:27:57,3.35,6.7,32.13,4.0,7937.0,26.08,1.0,20.71,93.26,92992.28
19399,2022-07-18 20:29:58,3.91,6.7,29.33,0.0,7692.0,26.08,5.0,20.7,93.62,92990.62
58,2022-07-18 20:32:57,3.91,6.7,32.13,0.8,7813.0,26.08,1.0,20.7,93.62,92990.62
19400,2022-07-18 20:34:58,4.47,6.7,29.33,0.0,7692.0,26.08,5.0,20.69,93.75,93000.12
59,2022-07-18 20:37:57,4.47,6.7,32.13,3.2,7937.0,26.08,1.0,20.69,93.75,93000.12
19401,2022-07-18 20:39:58,5.02,6.7,29.33,0.0,7692.0,26.08,5.0,20.69,93.82,93009.64
60,2022-07-18 20:42:57,5.02,6.7,32.13,1.6,7937.0,26.08,1.0,20.69,93.82,93009.64
19402,2022-07-18 20:44:58,5.58,6.7,29.33,0.0,7813.0,26.08,1.0,20.62,94.06,93008.53
61,2022-07-18 20:47:57,5.58,6.7,32.13,0.0,7937.0,26.08,1.0,20.62,94.06,93008.53
19403,2022-07-18 20:49:58,6.14,6.7,29.33,0.0,7813.0,26.08,5.0,20.59,93.92,93009.4
62,2022-07-18 20:52:57,6.14,6.7,32.13,1.6,7813.0,26.08,1.0,20.59,93.92,93009.4
19404,2022-07-18 20:54:58,6.7,6.7,29.33,0.0,7692.0,26.08,5.0,20.62,94.04,93024.8
63,2022-07-18 20:57:57,6.7,6.7,32.13,0.0,7692.0,26.08,1.0,20.62,94.04,93024.8
19405,2022-07-18 20:59:58,0.55,6.7,36.04,0.0,7246.0,26.08,5.0,20.75,93.37,93025.4
64,2022-07-18 21:02:58,0.55,6.7,38.83,2.4,7813.0,26.08,1.0,20.75,93.37,93025.4
19406,2022-07-18 21:04:58,1.11,6.7,36.04,0.0,7353.0,26.08,5.0,20.85,93.04,93021.41
65,2022-07-18 21:07:58,1.11,6.7,38.83,2.4,7937.0,26.08,1.0,20.85,93.04,93021.41
19407,2022-07-18 21:09:58,1.67,6.7,36.04,0.0,7246.0,26.08,5.0,20.84,92.41,93017.37
66,2022-07-18 21:12:58,1.67,6.7,38.83,0.8,7937.0,26.08,1.0,20.84,92.41,93017.37
19408,2022-07-18 21:14:58,2.23,6.7,36.04,0.0,7353.0,26.08,5.0,20.84,92.79,93025.42
67,2022-07-18 21:17:58,2.23,6.7,38.83,1.6,7937.0,26.08,1.0,20.84,92.79,93025.42
19409,2022-07-18 21:19:58,2.79,6.7,36.04,0.0,7246.0,26.08,5.0,20.8,93.02,93028.53
68,2022-07-18 21:22:58,2.79,6.7,38.83,4.8,7692.0,26.08,1.0,20.8,93.02,93028.53
19410,2022-07-18 21:24:58,3.35,6.7,36.04,0.0,7353.0,26.08,5.0,20.78,93.58,93034.56
69,2022-07-18 21:27:58,3.35,6.7,38.83,0.8,7692.0,26.07,1.0,20.78,93.58,93034.56
19411,2022-07-18 21:29:58,3.91,6.7,36.04,0.0,7246.0,26.07,5.0,20.8,93.08,93043.72
70,2022-07-18 21:32:58,3.91,6.7,38.83,2.4,7813.0,26.07,1.0,20.8,93.08,93043.72
19412,2022-07-18 21:34:58,4.47,6.7,36.04,0.0,7353.0,26.07,5.0,20.76,93.04,93037.84
71,2022-07-18 21:37:58,4.47,6.7,38.83,0.8,7937.0,26.07,1.0,20.76,93.04,93037.84
19413,2022-07-18 21:39:58,5.02,6.7,36.04,0.0,7463.0,26.07,5.0,20.65,93.36,93029.39
72,2022-07-18 21:42:58,5.02,6.7,38.83,2.4,7937.0,26.07,1.0,20.65,93.36,93029.39
19414,2022-07-18 21:44:58,5.58,6.7,36.04,0.0,7246.0,26.07,5.0,20.62,93.51,93028.27
73,2022-07-18 21:47:58,5.58,6.7,38.83,0.8,7937.0,26.06,1.0,20.62,93.51,93028.27
19415,2022-07-18 21:49:58,6.14,6.7,36.04,0.0,7246.0,26.06,5.0,20.61,93.73,93036.31
74,2022-07-18 21:52:58,6.14,6.7,38.83,0.8,7813.0,26.06,1.0,20.61,93.73,93036.31
19416,2022-07-18 21:54:59,6.7,6.7,36.04,0.0,7353.0,26.06,5.0,20.54,94.08,93038.44
75,2022-07-18 21:57:58,6.7,6.7,38.83,0.8,7937.0,26.06,1.0,20.54,94.08,93038.44
19417,2022-07-18 21:59:59,0.55,6.7,42.74,0.0,7353.0,26.06,5.0,20.44,94.23,93044.42
76,2022-07-18 22:02:58,0.55,6.7,45.54,1.6,7937.0,26.06,1.0,20.44,94.23,93044.42
19418,2022-07-18 22:04:59,1.11,6.7,42.74,0.0,7246.0,26.06,5.0,20.4,94.39,93059.43
77,2022-07-18 22:07:58,1.11,6.7,45.54,0.0,7937.0,26.06,1.0,20.4,94.39,93059.43
19419,2022-07-18 22:09:59,1.67,6.7,42.74,0.0,7463.0,26.06,5.0,20.4,94.66,93061.25
78,2022-07-18 22:12:58,1.67,6.7,45.54,1.6,7937.0,26.05,1.0,20.4,94.66,93061.25
19420,2022-07-18 22:14:59,2.23,6.7,42.74,0.0,7353.0,26.05,5.0,20.39,94.83,93058.5
79,2022-07-18 22:17:58,2.23,6.7,45.54,0.0,7937.0,26.05,1.0,20.39,94.83,93058.5
19421,2022-07-18 22:19:59,2.79,6.7,42.74,0.0,7353.0,26.05,5.0,20.42,95.21,93057.22
80,2022-07-18 22:22:58,2.79,6.7,45.54,1.6,7937.0,26.05,1.0,20.42,95.21,93057.22
19422,2022-07-18 22:25:16,3.35,6.7,42.74,0.0,7353.0,26.05,5.0,20.43,95.21,93060.72
81,2022-07-18 22:27:58,3.35,6.7,45.54,1.6,7937.0,26.05,1.0,20.43,95.21,93060.72
19423,2022-07-18 22:30:59,3.91,6.7,42.74,0.0,7463.0,26.05,5.0,20.43,95.2,93061.44
82,2022-07-18 22:32:58,3.91,6.7,45.54,1.6,7813.0,26.04,1.0,20.43,95.2,93061.44
19424,2022-07-18 22:35:59,4.47,6.7,42.74,0.0,7246.0,26.04,4.0,20.46,95.31,93065.31
83,2022-07-18 22:38:15,4.47,6.7,45.54,2.4,7813.0,26.04,1.0,20.46,95.31,93065.31
19425,2022-07-18 22:41:13,5.02,6.7,42.74,0.0,7246.0,26.04,5.0,20.47,95.5,93067.32
84,2022-07-18 22:43:58,5.02,6.7,45.54,1.6,7813.0,26.03,1.0,20.47,95.5,93067.32
19426,2022-07-18 22:46:59,5.58,6.7,42.74,0.0,7246.0,26.03,5.0,20.46,95.52,93062.37
85,2022-07-18 22:48:58,5.58,6.7,45.54,1.6,7813.0,26.03,1.0,20.46,95.52,93062.37
19427,2022-07-18 22:51:59,6.14,6.7,42.74,0.0,7246.0,26.03,5.0,20.53,95.48,93071.36
86,2022-07-18 22:53:58,6.14,6.7,45.54,0.8,7813.0,26.02,1.0,20.53,95.48,93071.36
19428,2022-07-18 22:56:59,6.7,6.7,42.74,0.0,7246.0,26.02,5.0,20.54,95.24,93056.38
87,2022-07-18 22:58:59,6.7,6.7,45.54,1.6,7813.0,26.02,1.0,20.54,95.24,93056.38
19429,2022-07-18 23:01:59,0.55,6.7,49.45,0.0,7246.0,26.02,5.0,20.62,95.04,93053.15
88,2022-07-18 23:04:01,0.55,6.7,52.24,0.0,7813.0,26.01,1.0,20.62,95.04,93053.15
19430,2022-07-18 23:06:59,1.11,6.7,49.45,0.0,7353.0,26.01,5.0,20.63,94.88,93035.22
89,2022-07-18 23:08:59,1.11,6.7,52.24,0.0,7813.0,26.01,1.0,20.63,94.88,93035.22
19431,2022-07-18 23:11:59,1.67,6.7,49.45,0.0,7246.0,26.01,5.0,20.61,95.25,93039.78
90,2022-07-18 23:13:59,1.67,6.7,52.24,2.4,7937.0,26.0,1.0,20.61,95.25,93039.78
19432,2022-07-18 23:16:59,2.23,6.7,49.45,0.0,7353.0,26.0,5.0,20.57,95.18,93023.12
91,2022-07-18 23:18:59,2.23,6.7,52.24,3.2,7937.0,26.0,1.0,20.57,95.18,93023.12
19433,2022-07-18 23:21:59,2.79,6.7,49.45,0.0,7353.0,26.0,5.0,20.54,95.25,93024.72
92,2022-07-18 23:23:59,2.79,6.7,52.24,1.6,7937.0,25.99,1.0,20.54,95.25,93024.72
19434,2022-07-18 23:26:59,3.35,6.7,49.45,0.0,7353.0,25.99,5.0,20.5,95.31,93031.82
93,2022-07-18 23:28:59,3.35,6.7,52.24,2.4,7813.0,25.99,1.0,20.5,95.31,93031.82
19435,2022-07-18 23:31:59,3.91,6.7,49.45,0.0,7246.0,25.99,5.0,20.52,95.54,93044.49
94,2022-07-18 23:33:59,3.91,6.7,52.24,1.6,7937.0,25.98,1.0,20.52,95.54,93044.49
19436,2022-07-18 23:36:59,4.47,6.7,49.45,0.0,7246.0,25.98,5.0,20.59,95.61,93049.82
95,2022-07-18 23:38:59,4.47,6.7,52.24,2.4,7937.0,25.98,1.0,20.59,95.61,93049.82
19437,2022-07-18 23:41:59,5.02,6.7,49.45,0.0,7246.0,25.98,5.0,20.62,95.27,93048.2
96,2022-07-18 23:43:59,5.02,6.7,52.24,0.8,7937.0,25.98,1.0,20.62,95.27,93048.2
19438,2022-07-18 23:47:00,5.58,6.7,49.45,0.0,7246.0,25.98,5.0,20.65,95.29,93048.4
97,2022-07-18 23:48:59,5.58,6.7,52.24,0.0,7813.0,25.98,1.0,20.65,95.29,93048.4
19439,2022-07-18 23:52:00,6.14,6.7,49.45,0.0,7246.0,25.98,5.0,20.65,95.49,93042.37
98,2022-07-18 23:53:59,6.14,6.7,52.24,1.6,7937.0,25.97,1.0,20.65,95.49,93042.37
19440,2022-07-18 23:57:00,6.7,6.7,49.45,0.0,7353.0,25.97,5.0,20.65,95.53,93036.89
99,2022-07-18 23:58:59,6.7,6.7,52.24,2.4,7937.0,25.96,1.0,20.65,95.53,93036.89
19441,2022-07-19 00:02:00,0.55,6.7,56.15,0.0,7246.0,25.96,5.0,20.67,95.45,93029.39
100,2022-07-19 00:03:59,0.55,6.7,58.95,0.8,7937.0,25.96,1.0,20.67,95.45,93029.39
19442,2022-07-19 00:07:00,1.11,6.7,56.15,0.0,7246.0,25.96,5.0,20.67,95.25,93025.35
101,2022-07-19 00:08:59,1.11,6.7,58.95,1.6,7937.0,25.95,1.0,20.67,95.25,93025.35
19443,2022-07-19 00:12:00,1.67,6.7,56.15,0.0,7246.0,25.95,1.0,20.67,95.1,93025.19
102,2022-07-19 00:13:59,1.67,6.7,58.95,0.8,7813.0,25.94,1.0,20.67,95.1,93025.19
19444,2022-07-19 00:17:00,2.23,6.7,56.15,0.0,7246.0,25.94,5.0,20.65,94.88,93020.42
103,2022-07-19 00:18:59,2.23,6.7,58.95,0.8,7937.0,25.94,1.0,20.65,94.88,93020.42
19445,2022-07-19 00:22:00,2.79,6.7,56.15,0.0,7246.0,25.94,5.0,20.64,94.74,93018.94
104,2022-07-19 00:23:59,2.79,6.7,58.95,4.0,7813.0,25.93,1.0,20.64,94.74,93018.94
19446,2022-07-19 00:27:00,3.35,6.7,56.15,0.0,7246.0,25.93,5.0,20.63,94.77,93009.25
105,2022-07-19 00:28:59,3.35,6.7,58.95,0.8,7937.0,25.93,1.0,20.63,94.77,93009.25
19447,2022-07-19 00:32:00,3.91,6.7,56.15,0.0,7246.0,25.93,5.0,20.62,94.8,93001.56
106,2022-07-19 00:33:59,3.91,6.7,58.95,1.6,7937.0,25.92,1.0,20.62,94.8,93001.56
19448,2022-07-19 00:37:00,4.47,6.7,56.15,0.0,7246.0,25.92,4.0,20.62,95.15,92999.55
107,2022-07-19 00:38:59,4.47,6.7,58.95,0.0,7937.0,25.92,1.0,20.62,95.15,92999.55
19449,2022-07-19 00:42:00,5.02,6.7,56.15,0.0,7353.0,25.92,5.0,20.65,94.87,92993.71
108,2022-07-19 00:44:00,5.02,6.7,58.95,0.8,7937.0,25.92,1.0,20.65,94.87,92993.71
19450,2022-07-19 00:47:00,5.58,6.7,56.15,0.0,7353.0,25.92,3.0,20.67,94.81,92995.17
109,2022-07-19 00:49:00,5.58,6.7,58.95,2.4,7937.0,25.91,1.0,20.67,94.81,92995.17
19451,2022-07-19 00:52:00,6.14,6.7,56.15,0.0,7353.0,25.91,5.0,20.61,94.84,92987.11
110,2022-07-19 00:54:00,6.14,6.7,58.95,0.8,7937.0,25.9,1.0,20.61,94.84,92987.11
19452,2022-07-19 00:57:00,6.7,6.7,56.15,0.0,7246.0,25.9,5.0,20.63,95.0,92989.32
111,2022-07-19 00:59:00,6.7,6.7,58.95,0.0,7692.0,25.9,1.0,20.63,95.0,92989.32
19453,2022-07-19 01:02:00,0.55,6.7,62.86,0.0,7246.0,25.9,5.0,20.62,94.68,92985.82
112,2022-07-19 01:04:00,0.55,6.7,65.65,0.8,7813.0,25.89,1.0,20.62,94.68,92985.82
19454,2022-07-19 01:07:00,1.11,6.7,62.86,0.0,7246.0,25.89,5.0,20.64,94.78,92981.81
113,2022-07-19 01:09:00,1.11,6.7,65.65,0.8,7813.0,25.88,1.0,20.64,94.78,92981.81
19455,2022-07-19 01:12:00,1.67,6.7,62.86,0.0,7246.0,25.88,5.0,20.67,94.51,92969.01
114,2022-07-19 01:13:59,1.67,6.7,65.65,1.6,7937.0,25.88,1.0,20.67,94.51,92969.01
19456,2022-07-19 01:17:00,2.23,6.7,62.86,0.0,7246.0,25.88,5.0,20.7,94.52,92967.92
115,2022-07-19 01:19:00,2.23,6.7,65.65,1.6,7813.0,25.87,1.0,20.7,94.52,92967.92
19457,2022-07-19 01:22:00,2.79,6.7,62.86,0.0,7246.0,25.87,5.0,20.68,94.48,92958.24
116,2022-07-19 01:24:00,2.79,6.7,65.65,1.6,7813.0,25.87,1.0,20.68,94.48,92958.24
19458,2022-07-19 01:27:00,3.35,6.7,62.86,0.0,7246.0,25.87,5.0,20.62,94.7,92948.15
117,2022-07-19 01:29:00,3.35,6.7,65.65,2.4,7937.0,25.86,1.0,20.62,94.7,92948.15
19459,2022-07-19 01:32:00,3.91,6.7,62.86,0.0,7246.0,25.86,5.0,20.6,94.69,92943.74
118,2022-07-19 01:34:00,3.91,6.7,65.65,0.8,7813.0,25.86,1.0,20.6,94.69,92943.74
19460,2022-07-19 01:37:01,4.47,6.7,62.86,0.0,7246.0,25.86,5.0,20.57,94.72,92938.06
119,2022-07-19 01:39:00,4.47,6.7,65.65,0.0,7813.0,25.85,1.0,20.57,94.72,92938.06
